t_start_ms,t_end_ms,duration_ms,peak_ua,mean_ua,energy_total_uj,energy_marginal_uj,type
10043.0,10045.0,3,1372.145,1220.5756666666666,10.985181,3.412077,inference
10048.0,10053.0,6,2668.168,1641.6771666666666,29.550189,14.403980999999998,inference
10063.0,10065.0,3,1399.306,1228.7263333333333,11.058537000000001,3.485433,inference
10082.0,10088.0,7,3699.061,2371.477428571429,49.801026,32.130449999999996,inference
10103.0,10105.0,3,1381.565,1216.3893333333333,10.947504,3.3743999999999996,inference
10115.0,10120.0,6,3338.83,1890.4806666666666,34.028652,18.882444,inference
10123.0,10125.0,3,1432.266,1223.9323333333334,11.015391,3.4422870000000003,inference
10143.0,10145.0,3,1362.977,1214.224,10.928016,3.354912,inference
10152.0,10157.0,6,2614.145,1635.9071666666666,29.446329,14.300120999999999,inference
10163.0,10165.0,3,1389.211,1219.9866666666667,10.979880000000001,3.4067760000000002,inference
10183.0,10191.0,9,3367.117,1867.154111111111,50.413160999999995,27.693849,inference
10203.0,10205.0,3,1429.907,1229.139,11.062251,3.489147,inference
10223.0,10230.0,8,3214.042,1767.171375,42.412113,22.217169,inference
10243.0,10245.0,3,1413.985,1238.3856666666666,11.145471,3.5723669999999994,inference
10258.0,10265.0,8,3580.865,2191.5505000000003,52.597212000000006,32.402268,inference
10283.0,10285.0,3,1397.588,1222.875,11.005875,3.4327710000000002,inference
10296.0,10300.0,5,2667.857,1753.0264,26.295396,13.673556000000001,inference
10303.0,10305.0,3,1432.935,1241.6633333333332,11.17497,3.601866,inference
10323.0,10331.0,9,3027.094,1565.4402222222222,42.266886,19.547574,inference
10338.0,10349.0,12,8334.063,5440.8175833333335,195.86943300000001,165.577017,ble
10358.0,10370.0,13,8371.343,5425.127076923077,211.579956,178.76317200000003,ble
10378.0,10389.0,12,8311.265,5399.876416666667,194.395551,164.103135,ble
10398.0,10409.0,12,10045.154,5897.482666666668,212.30937600000004,182.01695999999998,ble
10418.0,10429.0,12,8407.068,5420.136916666667,195.124929,164.832513,ble
10434.0,10449.0,16,8364.175,4607.57875,221.16377999999997,180.773892,ble
10458.0,10474.0,17,8401.011,4445.372882352941,226.71401699999998,183.799761,ble
10478.0,10489.0,12,8403.368,5425.26725,195.309621,165.01720500000002,ble
10498.0,10509.0,12,9790.124,5903.219583333334,212.51590500000003,182.22348899999997,ble
10518.0,10529.0,12,8390.832,5420.5695000000005,195.14050200000005,164.84808600000002,ble
10535.0,10549.0,15,8327.21,4952.4380666666675,222.85971300000006,184.994193,ble
10563.0,10564.0,2,1413.936,1311.0729999999999,7.866438,2.8177019999999997,inference
10567.0,10572.0,6,2757.931,1698.9306666666664,30.580751999999997,15.434544000000002,inference
